DDB ID,Name,v1,v2,v3,v4,CH2,C=C,ACH,ACCH2,OH,CH3OH,H2O,ACOH,CH2CO,CHO,CCOO,HCOO,CH2O,CH2NH2,CH2NH,(C)3N,ACNH2,PYRIDINE,CH2CN,COOH,CCL,CCL2,CCL3,CCL4,ACCL,CNO2,ACNO2,CS2,CH3SH,FURFURAL,DOH,I,BR,C=-C,DMSO,ACRY,CLCC,ACF,DMF,CF2,COO,CY-CH2,CY-CH2O,CHCL3,CY-CONC,CONR,CONR2,HCONR,ACS,EPOXIDES,CARBONAT,SULFONE,CH2S,Molecular formula,CAS No,Mol.Weight,Tc [K],Tm [K],Dipol Mom.,Polarizab.,Anisotr.,norm. Aniso.,H-Bond Acc.,H-Bond Don.,Dipol Mom._normed,Polarizab._normed,Anisotr._normed,norm. Aniso._normed,H-Bond Acc._normed,H-Bond Don._normed,training samples,AN_short,AN_long,AN_cyc,EN_lin,EN_branch,C_ARO_small,C_ARO_kond,POL_ARO_all,POL_ARO_ether,POL_ARO_on,H_ARO_all,HET_ARO_all,XALK_cl,XALK_br,XALK_i,OL_wl,OL_wul,OL_diol,OL_fol,OL_polyol,OL_etherol,OL_biol,COO_wl,COO_wul,COO_aro,COO2_small,COO2_med,COO2_long,NHR_ion,NHR_tert,NHR_long,ON_wl,ON_wul,COC_cyc,COC_wl,COC_wul,CN_wl,CN_wul,NO2_wl,NO2_wul,COOH_all,FF_all,CONR_wl,CONR_wul,PO_wl,PO_wul,S_POL_all,S_NPOL_all,FACID_all,H2O_all,Exo
140,1-Propanol,-0.161011727544455,0.301381512887113,-0.985737558441559,0.148103471803197,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H8O,71-23-8,60.0959,536.7,147.05,1.4904,43.04652,9.82425,0.228224023684144,0.0,0.0166400425985091,-0.26456287046491167,-0.748233915716387,-0.8572036881036296,-0.9089338778102173,-0.7767356676836642,1.0046482313754466,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Pyridine,0.182722137962038,-0.90657272027972,-0.77409957942058,0.235097245734266,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H5N,110-86-1,79.1014,620.0,231.45,2.23,59.9137,36.57547,0.610469224901817,0.0126420652077723,0.0,0.23954240106759989,-0.4800962687574747,-0.05663462466017931,1.065606620604089,0.0009944407061137754,-0.36804184584334126,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Carbon disulfide,-0.0932642479501498,0.106530500174825,-0.372322086913087,2.313564995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS2,75-15-0,76.143,552.0,161.65,0.0003,48.81794,60.9774,1.24907769561764,0.0,0.0,-1.2802027637999513,-0.656485622379172,0.6736285276862419,4.364427074181882,-0.7767356676836642,-0.36804184584334126,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,Dimethyl sulfoxide,-0.748772672327674,-0.915848659340661,-2.07057088911089,-0.258443423476523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H6OS,67-68-5,78.135,720.0,291.69,2.829,56.46564,30.22518,0.535284466801403,0.0255967236193767,0.0,0.6478158700345746,-0.5349100962599468,-0.24667626455153036,0.677229345337234,0.7979550420812296,-0.36804184584334126,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,tert-Butanol,0.0043156371918082,0.61802654945055,-0.80467297002997,-0.221859240579421,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H10O,75-65-0,74.1228,506.2,298.55,1.5649,55.15478,3.42536,0.0621044993743063,0.0,0.0134910891356259,-0.21378428375699915,-0.5557488444023487,-1.048699753493457,-1.7670472753942625,-0.7767356676836642,0.744881037479513,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Tetradecane,-0.511714744172827,0.379503242757243,-0.0558277952087912,1.24279327432568,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14H30,629-59-4,198.392,691.8,279.02,0.0007,504.19657,293.66033,0.582432224796769,0.0,0.0,-1.279930127092795,6.582670794020793,7.637002734521589,0.9207776155960237,-0.7767356676836642,-0.36804184584334126,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,trans-Decahydronaphthalene,-0.0223074168591409,0.299402951538462,-0.123094258541459,0.493772870089911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,C10H18,493-02-7,138.253,690.0,242.75,0.0,112.7855,27.14445,0.240673224838299,0.0,0.0,-1.280407241330319,0.36040700698169575,-0.33887157866513495,-0.8446258059927583,-0.7767356676836642,-0.36804184584334126,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"1,2,3,4-Tetrahydronaphthalene",-0.0834864332547454,-0.476792640559441,-0.313392222777224,0.507689069130869,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,C10H12,119-64-2,132.205,719.2,237.35,0.7406,110.85364,57.8107,0.521504751670762,0.0,0.0,-0.7756203780299158,0.329696218654658,0.5788604366157644,0.6060483194005116,-0.7767356676836642,-0.36804184584334126,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Tetrachloromethane,0.166475029456544,-0.173171971718282,-0.122570125474525,1.88498222777223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCl4,56-23-5,153.822,556.4,250.77,0.0002,60.6221,0.00193,3.18365744505717e-05,0.0,0.0,-1.2802709229767406,-0.46883483032463086,-1.151150862222861,-2.0876922073706212,-0.7767356676836642,-0.36804184584334126,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Tetrahydrofurfuryl alcohol,0.0639871864515485,-0.39930519573996,-1.24479375624376,0.00259701263736263,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,C5H10O2,97-99-4,102.133,0.0,0.0,2.9753,65.78458,13.67647,0.20789780827057,0.0195823093417407,0.00979115467087034,0.7475327456770925,-0.38676685929020505,-0.7419204166274826,-1.0139317571445867,0.4279529110076525,0.4396616670324195,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
